Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,  Sales,Tax,advertisement,Fuel
3-16-2020,PPC-Bag,264.7512,400,40,31,124962.57,19062.0864,6018.902,13948.0576
3-16-2020,OPC-Bag,352.5579,2000,200,25,832036.64,126920.844,39771.74059,89613.896
3-16-2020,OPC-Bag,352.5579,1600,160,30,665629.32,101536.6752,31864.44363,72491.1168
3-16-2020,PPC-Bag,264.7512,400,40,35,124962.57,19062.0864,6026.902,14108.0576
3-16-2020,PPC-Bag,264.7512,1120,112,55,349895.19,53373.84192,16939.67038,41742.56128
3-17-2020,PPC-Bag,264.7512,800,80,25,249925.13,38124.1728,11987.32888,27416.1152
3-19-2020,PPC-Bag,276.7311,400,40,28,130617.08,19924.6392,6282.44975,14403.0928
3-19-2020,OPC-Bulk,339.2622,800,80,30,320263.52,48853.7568,15352.87278,34969.1712
3-19-2020,PPC-Bag,276.7311,400,40,32.5,130617.08,19924.6392,6291.44975,14583.0928
3-19-2020,PPC-Bag,276.7311,200,20,32.5,65308.54,9962.3196,3159.56143,7291.5464
3-19-2020,OPC-Bulk,339.2622,2000,200,25,800658.79,122134.392,38281.29262,86422.928
3-20-2020,OPC-Bag,356.5512,200,20,35,84146.08,12835.8432,4064.02856,9257.2288
3-20-2020,PPC-Bag,276.7311,400,40,35,130617.08,19924.6392,6296.44975,14683.0928
3-20-2020,OPC-Bag,356.5512,400,40,30,168292.17,25671.6864,8082.402,18314.4576
3-20-2020,PPC-Bag,276.7311,400,40,35,130617.08,19924.6392,6296.44975,14683.0928
3-21-2020,PPC-Bag,276.7311,400,40,40,130617.08,19924.6392,6306.44975,14883.0928
3-21-2020,PPC-Bag,276.7311,2000,200,45,653085.4,99623.196,31471.55631,75415.464
3-21-2020,PPC-Bag,276.7311,400,40,40,130617.08,19924.6392,6306.44975,14883.0928
3-21-2020,OPC-Bag,356.5512,400,40,35,168292.17,25671.6864,8092.402,18514.4576
3-21-2020,PPC-Bag,276.7311,400,40,50,130617.08,19924.6392,6326.44975,15283.0928
3-21-2020,PPC-Bag,276.7311,400,40,40,130617.08,19924.6392,6306.44975,14883.0928
3-22-2020,OPC-Bulk,339.2622,800,80,28,320263.52,48853.7568,15344.87278,34809.1712
3-23-2020,OPC-Bag,356.5512,400,40,35,168292.17,25671.6864,8092.402,18514.4576
3-23-2020,PPC-Bag,276.7311,400,40,35,130617.08,19924.6392,6296.44975,14683.0928
3-23-2020,PPC-Bag,276.7311,400,40,0,130617.08,19924.6392,6226.44975,13283.0928
3-24-2020,OPC-Bag,356.5512,200,20,35,84146.08,12835.8432,4064.02856,9257.2288
3-26-2020,OPC-Bag,356.5512,800,80,28,336584.33,51343.3728,16121.14888,36468.9152
3-26-2020,OPC-Bag,356.5512,2000,200,75,841460.83,128358.432,40719.38952,100572.288
3-26-2020,PPC-Bag,276.7311,400,40,75,130617.08,19924.6392,6376.44975,16283.0928
3-26-2020,OPC-Bag,352.5579,400,40,28,166407.33,25384.1688,7988.55275,18042.7792
3-26-2020,PPC-Bag,264.7512,400,40,28,124962.57,19062.0864,6012.902,13828.0576
3-26-2020,OPC-Bulk,339.2622,1600,160,28,640527.03,97707.5136,30655.81934,69618.3424
3-26-2020,PPC-Bag,276.7311,400,40,40,130617.08,19924.6392,6306.44975,14883.0928
3-27-2020,PPC-Bag,264.7512,400,40,35,124962.57,19062.0864,6026.902,14108.0576
3-27-2020,OPC-Bag,356.5512,400,40,30,168292.17,25671.6864,8082.402,18314.4576
3-27-2020,PPC-Bag,276.7311,800,80,30,261234.16,39849.2784,12545.22639,28966.1856
3-27-2020,PPC-Bag,264.7512,400,40,35,124962.57,19062.0864,6026.902,14108.0576
3-28-2020,OPC-Bulk,339.2622,800,80,30,320263.52,48853.7568,15352.87278,34969.1712
3-28-2020,PPC-Bag,264.7512,200,20,35,62481.28,9531.0432,3026.68856,7054.0288
3-30-2020,OPC-Bag,356.5512,400,40,110,168292.17,25671.6864,8242.402,21514.4576
3-30-2020,OPC-Bag,356.5512,5000,500,30,2103652.08,320896.08,100619.9911,228930.72
3-31-2020,OPC-Bulk,365.8689,1200,120,28,518070.36,79027.6824,24790.97697,56045.1216
04-02-2020,OPC-Bulk,365.8689,1200,120,28,518070.36,79027.6824,24790.97697,56045.1216
04-02-2020,PPC-Bag,292.689,400,40,35,138149.21,21073.608,6655.5025,15449.072
04-02-2020,PPC-Bag,292.689,200,20,35,69074.6,10536.804,3342.3857,7724.536
04-02-2020,OPC-Bulk,365.8689,2000,200,30,863450.6,131712.804,41313.90369,93808.536
04-04-2020,OPC-Bag,381.8268,400,40,30,180222.25,27491.5296,8651.103,19527.6864
04-05-2020,OPC-Bulk,365.8689,800,80,28,345380.24,52685.1216,16539.51361,37363.4144
04-05-2020,PPC-Bag,292.689,400,40,35,138149.21,21073.608,6655.5025,15449.072
04-10-2020,OPC-Bulk,365.8689,800,80,30,345380.24,52685.1216,16547.51361,37523.4144
04-10-2020,PPC-Bag,292.689,400,40,75,138149.21,21073.608,6735.5025,17049.072
04-10-2020,OPC-Bag,381.8268,400,40,80,180222.25,27491.5296,8751.103,21527.6864
04-10-2020,OPC-Bag,381.8268,1200,120,100,540666.75,82474.5888,26296.94364,66983.0592
04-10-2020,OPC-Bag,381.8268,400,40,85,180222.25,27491.5296,8761.103,21727.6864
04-10-2020,PPC-Bag,292.689,480,48,70,165779.05,25288.3296,8064.74922,20218.8864
04-12-2020,OPC-Bulk,365.8689,800,80,28,345380.24,52685.1216,16539.51361,37363.4144
04-12-2020,PPC-Bag,292.689,400,40,30,138149.21,21073.608,6645.5025,15249.072
04-12-2020,PPC-Bag,264.7512,800,80,35,249925.13,38124.1728,12027.32888,28216.1152
